"status","mentioned_name","match_count","matched_people","years","candidate_names","relationships","claim_texts"
"ambiguous_same_name","徐欣瑩","3","徐欣瑩 [fce8e4e8-2586-430b-ad3c-33bfdff45d2e] | 徐欣瑩 [02826491-4272-4be2-96aa-84bbdd7dbce6] | 徐欣瑩 [3058aefa-8a31-4069-9f75-8f41179317bc]","2018","徐世勲","姐姐","姐姐是民國黨主席徐欣瑩"
"not_found","徐張貴華","0","","2018","徐佳瑩","媽媽","媽媽是前大寮鄉長徐張貴華"
"not_found","徐鏡蘭","0","","2018","徐世勲","爸爸","爸爸是新竹縣新豐鄉前鄉長徐鏡蘭"
"not_found","翁瑞珠","0","","2018 | 2022","黃秋媖","媽媽 | 母親","媽媽是2屆議員翁瑞珠 | 母親是民進黨前議員翁瑞珠"
"not_found","耿繼文","0","","2022","耿葳","伯父","伯父為現任中華民國退休警察人員協會總會理事長耿繼文"
"found","高敏慧","1","高敏慧 [cd3e84c5-d23d-43e0-93fd-58e8e9c019f4]","2022","高乃芸","姑姑","姑姑是6屆議員、因貪污被褫奪公權的長高敏慧"
"not_found","張火爐","0","","2018 | 2022","鄭淑方","姨丈","姨丈是3屆議員、2屆鎮民代表張火爐 | 姨丈是曾任3屆議員、2屆鎮民代表的張火爐"
"not_found","張宏年","0","","2018 | 2022","張彥彤","爸爸 | 父親","爸爸是7屆議員、副議長/議長張宏年 | 父親是7屆議員、副議長、議長張宏年"
"not_found","張春松","0","","2018","呂淑真","丈夫","丈夫是前八德市市長、農會總幹事、鄉民代表會主席張春松"
"found","張茂楠","1","張茂楠 [ce727551-d321-41a4-9b0d-440500561536]","2022","張文潔","父親","父親是民進黨籍台北市議員張茂楠"
"ambiguous_same_name","張家豪","2","張家豪 [698e8edd-ea97-4ea1-91f2-3765e9d15317] | 張家豪 [c8e9eb52-50e7-49aa-85b8-af121c67968a]","2022","華珮君","丈夫","丈夫是2022動保黨台北市長參選人張家豪"
"not_found","張啟仲","0","","2018 | 2022","張彥彤","爺爺 | 祖父","爺爺是前副議長、台中市張派代表人物張光儀，同一輩的還有前台中市長張啟仲、新光醫院前副院長黃芳彥的母親張愛信 | 祖父是前副議長、台中市張派代表人物張光儀，同一輩的還有前台中市長張啟仲、新光醫院前副院長黃芳彥的母親張愛信"
"not_found","張清堂","0","","2018 | 2022","張清照","哥哥","哥哥是6屆議員、3屆議長張清堂"
"not_found","張喜財","0","","2018 | 2022","張志宏","爸爸 | 父親","爸爸是前縣議員、新莊鎮民代表、新莊市代會主席張喜財 | 父親是前縣議員、新莊鎮民代表、新莊市代會主席張喜財"
"not_found","張貴木","0","","2018 | 2022","張肇良","爸爸 | 父親","爸爸是省議員、民進黨桃園縣黨部主委、中評委張貴木 | 父親是曾任省議員、民進黨桃園縣黨部主委的張貴木"
"found","張貴華","1","張貴華 [3f5029c6-fee6-4083-b59a-f02bf241e6a9]","2018","徐佳瑩","媽媽","媽媽是前大寮鄉長徐張貴華"
"not_found","張愛信","0","","2018 | 2022","張彥彤","母親","爺爺是前副議長、台中市張派代表人物張光儀，同一輩的還有前台中市長張啟仲、新光醫院前副院長黃芳彥的母親張愛信 | 祖父是前副議長、台中市張派代表人物張光儀，同一輩的還有前台中市長張啟仲、新光醫院前副院長黃芳彥的母親張愛信"
"not_found","張溫鷹","0","","2022","陳俞融","母親","母親是前台中市市長、美麗島事件受難者張溫鷹"
"not_found","張瑞山","0","","2018 | 2022","張維倩","爸爸 | 父親","爸爸是4屆議員、4屆中和市市民代表張瑞山 | 父親是4屆議員、4屆中和市市民代表張瑞山"
"not_found","張廖貴專","0","","2018 | 2022","張廖乃綸","爸爸 | 父親","爸爸是前議長、副議長、台中市魚市場及果菜市場董事長張廖貴專 | 父親是前議長、副議長、台中市魚市場及果菜市場董事長張廖貴專"
"found","張碩芬","1","張碩芬 [f7ae7ff4-370f-40a1-ab8b-b91855dcbd7c]","2022","張碩芳","姊姊","姊姊是桃園市第三選區參選人張碩芬"
"found","張碩芳","1","張碩芳 [f2d8c3a0-3079-4282-baa6-3ff3a4e1d5c8]","2022","張碩芬","妹妹","妹妹是桃園市第一選區參選人張碩芳"
"ambiguous_same_name","張慶忠","2","張慶忠 [3704853c-5e9d-44f2-8917-ec0361474f53] | 張慶忠 [a2fb35bf-d72f-4174-b17e-5d9443b9a04b]","2018 | 2022","陳錦錠","丈夫","丈夫是3屆立委張慶忠"
"not_found","張慶惠","0","","2018 | 2022","魏筠","媽媽 | 母親","媽媽是立委、前國大代表張慶惠 | 母親是曾任立委、國大代表的張慶惠"
"found","張賦脈","1","張賦脈 [5c90e0f9-b415-4835-8381-4c5e93d65660]","2018 | 2022","陳怡君","媽媽 | 母親","媽媽是大同區保安里里長張賦脈 | 母親是大同區保安里里長張賦脈"
"found","莊競程","1","莊競程 [d5286dc2-74e5-49f5-8c95-678e197c5181]","2022","曾朝榮","外甥","外甥是立委莊競程"
"not_found","許文欽","0","","2018","許乃文","爸爸","爸爸是陳菊後援會長許文欽，多年為黨內人士抬轎"
"not_found","許正雄","0","","2018","許慧玉","爸爸","爸爸是2屆縣議員、大社鄉鄉長許正雄"
"found","許崑源","1","許崑源 [162f0858-4455-4937-8409-d82aa4d3a9b7]","2022","許釆蓁","父親","父親是國民黨前議員、前議長許崑源"
"not_found","許富男","0","","2018 | 2022","許家蓓","爸爸 | 父親","爸爸是2屆議員許富男 | 父親是民進黨創黨元老、2屆議員許富男"
"found","連小華","1","連小華 [1ccc57b2-3f24-4a3a-a1b7-35cc1a97542a]","2022","陳清龍","妻子","妻子是曾任豐原市民代表的連小華"
"found","郭玟成","1","郭玟成 [32a4c777-d0ee-4df5-b7b7-0d5fa7511f2d]","2018","林宛蓉","丈夫","丈夫是3屆立委、3屆議員郭玟成"
"not_found","郭瑞華","0","","2018 | 2022","郭昭巖","爸爸 | 父親","爸爸是前台北市自來水處處長郭瑞華 | 父親是前台北市自來水處處長郭瑞華"
"not_found","郭裕信","0","","2022","郭麗華 | 郭蔡美英","堂兄 | 兒子","堂兄弟是經濟發展局局長郭裕信 | 兒子是經濟發展局局長郭裕信"
"found","郭榮宗","1","郭榮宗 [e4f98b1a-811d-40d2-b757-5c1d5d4ca34a]","2018 | 2022","郭蔡美英 | 郭麗華","丈夫 | 叔叔","丈夫是3屆立委、議員、3屆觀音鄉鄉長郭榮宗 | 叔叔是3屆立委、議員、觀音鄉鄉長郭榮宗 | 丈夫是曾任3屆立委、議員、3屆觀音鄉鄉長的郭榮宗"
"found","郭蔡美英","1","郭蔡美英 [5659cd1d-568f-48f7-8093-94c29944a3c3]","2022","郭麗華","嬸嬸","嬸嬸是曾任2屆議員的郭蔡美英"
"ambiguous_same_name","郭麗華","2","郭麗華 [db9df2fa-aee6-42bd-bd40-9f2eb50dec99] | 郭麗華 [2472f79e-4d08-4b95-b088-b427edfb127e]","2022","郭蔡美英","侄女","侄女是本屆第4選區議員參選人郭麗華"
"found","陳一郎","1","陳一郎 [048dde39-a962-4b07-bacc-da27a9321665]","2018 | 2022","陳儀君","爸爸 | 父親","爸爸是前縣議員、五峰里里長陳一郎 | 父親是前縣議員、五峰里里長陳一郎"
"found","陳仁榮","1","陳仁榮 [6f6a867e-746c-4f3e-ba12-69b0a67a559d]","2022","陳雅惠","父親","父親是前國光里長陳仁榮"
"not_found","陳天汶","0","","2018 | 2022","陳文政","岳父","岳父是前台中市議會副議長陳天汶"
